Count,Time_Elapsed,Average_Time,Capture_Time,BayerToRGB,Vec_Rec_Time,Memcpy_Rec_Time,Image saving,TotalTime 
16586,3.37771,1.69564,0.603959,0.091486,0.469053,0.433361,0,1.7067
16586,3.37934,1.6956,0.556326,0.090843,0.471493,0.42251,0,1.67631
16586,3.38099,1.69558,0.602928,0.086362,0.439156,0.417454,0,1.61323
16586,3.38265,1.69556,0.642858,0.08481,0.439252,0.419173,0,1.622
16586,3.38435,1.69557,0.683441,0.084443,0.387929,0.421913,0,1.66131
16586,3.38599,1.69554,0.664609,0.086887,0.436254,0.428567,0,1.65209
16586,3.38767,1.69553,0.646342,0.087681,0.434561,0.424947,0,1.69544
16586,3.38932,1.69551,0.646461,0.082692,0.466439,0.446337,0,1.66161
16586,3.39097,1.69548,0.574498,0.088535,0.464679,0.447161,0,1.71041
16586,3.39264,1.69547,0.595047,0.090592,0.459506,0.433012,0,1.64627
16586,3.39434,1.69547,0.636262,0.092705,0.467536,0.43626,0,1.65855
16586,3.39596,1.69544,0.548464,0.091098,0.456312,0.442135,0,1.7128
16586,3.39762,1.69542,0.607989,0.081309,0.461389,0.436771,0,1.60757
16586,3.39929,1.69541,0.614888,0.086851,0.521806,0.441049,0,1.65583
16586,3.40095,1.69539,0.533079,0.090676,0.461742,0.428592,0,1.73893
16586,3.40262,1.69538,0.615757,0.089145,0.462458,0.438806,0,1.58821
16586,3.40428,1.69536,0.59588,0.091458,0.458871,0.436308,0,1.68246
16586,3.40596,1.69535,0.621998,0.088891,0.45709,0.430245,0,1.65192
16586,3.40761,1.69533,0.583681,0.10517,0.44036,0.4282,0,1.67469
16586,3.4093,1.69532,0.66213,0.088496,0.446432,0.437828,0,1.62103
16586,3.41093,1.69529,0.594847,0.085809,0.447228,0.431591,0,1.70596
16586,3.41261,1.69528,0.616369,0.107119,0.465887,0.446333,0,1.63195
16586,3.41426,1.69526,0.569148,0.097383,0.464042,0.443561,0,1.71129
16586,3.41594,1.69526,0.602435,0.091507,0.452891,0.434115,0,1.65358
16586,3.4176,1.69524,0.62379,0.083661,0.358885,0.429842,0,1.64773
16586,3.41925,1.69522,0.72108,0.092752,0.46513,0.438828,0,1.54062
16586,3.42091,1.6952,0.580562,0.091973,0.45803,0.444339,0,1.79557
16586,3.42258,1.69519,0.609987,0.095949,0.449252,0.430086,0,1.64316
16586,3.42424,1.69517,0.603407,0.092036,0.450448,0.444806,0,1.66849
16586,3.4259,1.69515,0.603954,0.091461,0.723563,0.431361,0,1.66249
16586,3.42757,1.69514,0.345075,0.093697,0.448144,0.431762,0,1.92409
16586,3.42931,1.69516,0.691545,0.097429,0.476125,0.45745,0,1.39269
16586,3.43093,1.69512,0.506011,0.096201,0.475868,0.44935,0,1.80075
16586,3.43255,1.69509,0.523148,0.095512,0.461551,0.439396,0,1.60545
16586,3.43428,1.6951,0.660387,0.095112,0.465514,0.46321,0,1.59
16586,3.438,1.69611,2.62645,0.098726,0.503123,0.439798,0,1.75799
16586,3.43915,1.69583,0.033227,0.079516,0.456197,0.437826,0,3.75525
16586,3.44023,1.69553,0.035037,0.078987,0.439946,0.426989,0,1.07656
16586,3.44127,1.69521,0.034012,0.078394,0.440565,0.433695,0,1.04446
16586,3.44252,1.69499,0.239086,0.080072,0.388537,0.427468,0,1.04688
16586,3.44424,1.695,0.738813,0.096511,0.392583,0.431034,0,1.1981
16586,3.44588,1.69497,0.657063,0.095104,0.417721,0.438208,0,1.73063
16586,3.44755,1.69496,0.645892,0.095569,0.449638,0.431814,0,1.6794
16586,3.44922,1.69495,0.621199,0.095856,0.444933,0.438573,0,1.6925
16586,3.45092,1.69495,0.644138,0.092903,0.44423,0.427411,0,1.67402
16586,3.45274,1.69501,0.599343,0.275003,0.453788,0.44212,0,1.68298
16586,3.45455,1.69507,0.755759,0.081519,0.46288,0.432104,0,1.84929
16586,3.45583,1.69487,0.229141,0.086042,0.447226,0.428771,0,1.80831
16586,3.45753,1.69487,0.650974,0.089522,0.454405,0.441429,0,1.26621
16586,3.45915,1.69483,0.570915,0.088569,0.445631,0.431856,0,1.70441
16586,3.46085,1.69483,0.665286,0.090032,0.444035,0.419219,0,1.60448
16586,3.46251,1.69482,0.631245,0.08812,0.436642,0.417449,0,1.6945
16586,3.46417,1.6948,0.63492,0.086411,0.434809,0.410603,0,1.66246
16586,3.46583,1.69478,0.656642,0.086533,0.44283,0.41591,0,1.63364
16586,3.4675,1.69477,0.653812,0.085354,0.434058,0.416463,0,1.67216
16586,3.46916,1.69475,0.656816,0.086021,0.432935,0.427189,0,1.65587
16586,3.47081,1.69473,0.646354,0.077183,0.445703,0.417859,0,1.67304
16586,3.47243,1.6947,0.627961,0.072134,0.436401,0.420004,0,1.64706
16586,3.47414,1.6947,0.689689,0.095587,0.447448,0.43124,0,1.6173
16586,3.47582,1.6947,0.64019,0.093994,0.453123,0.429906,0,1.73616
16586,3.47744,1.69466,0.573354,0.092947,0.454746,0.43554,0,1.68846
16586,3.47917,1.69467,0.674321,0.091782,0.444919,0.434498,0,1.62377
16586,3.48081,1.69465,0.593477,0.094254,0.449824,0.437003,0,1.71673
16586,3.48246,1.69463,0.605868,0.090619,0.429368,0.418671,0,1.64874
16586,3.48413,1.69462,0.660884,0.089986,0.429428,0.418569,0,1.61529
16586,3.48579,1.6946,0.655456,0.090219,0.453773,0.433869,0,1.66656
16586,3.48742,1.69457,0.58052,0.089619,0.434335,0.509493,0,1.70283
16586,3.49017,1.69508,1.64481,0.09715,0.398024,0.32692,0,1.67457
16586,3.49107,1.6947,0.028625,0.077997,0.341457,0.350757,0,2.54068
16586,3.49241,1.69452,0.527513,0.079516,0.727966,0.443202,0,0.837291
16586,3.49409,1.69452,0.360184,0.077549,0.45018,0.442625,0,1.84942
16586,3.4958,1.69452,0.6493,0.09266,0.4519,0.429931,0,1.40492
16586,3.49741,1.69448,0.585798,0.071506,0.449828,0.437146,0,1.69646
16586,3.49909,1.69448,0.630484,0.092583,0.460451,0.412893,0,1.61415
16586,3.50074,1.69445,0.628277,0.068583,0.440452,0.422853,0,1.67071
16586,3.50245,1.69446,0.693402,0.091789,0.43626,0.419225,0,1.62831
16586,3.50406,1.69442,0.608091,0.06812,0.43963,0.418705,0,1.71146
16586,3.50573,1.69441,0.665724,0.088717,0.465891,0.451509,0,1.59732
16586,3.50737,1.69438,0.581896,0.076764,0.445916,0.515585,0,1.73456
16586,3.50905,1.69437,0.577212,0.070964,0.452938,0.433149,0,1.68515
16586,3.51071,1.69436,0.615167,0.089801,0.45322,0.426262,0,1.60462
16586,3.51239,1.69435,0.662104,0.074183,0.460596,0.440843,0,1.64954
16586,3.51405,1.69434,0.605341,0.081051,0.45792,0.432478,0,1.71294
16586,3.51602,1.69447,0.929394,0.075977,0.460687,0.43996,0,1.65051
16586,3.51736,1.69429,0.277745,0.081772,0.449127,0.428221,0,1.98025
16586,3.51905,1.69429,0.652332,0.090109,0.431803,0.421424,0,1.31006
16586,3.52075,1.6943,0.683347,0.091993,0.437651,0.422337,0,1.66813
16586,3.52239,1.69427,0.615891,0.096791,0.443855,0.413207,0,1.70462
16586,3.52406,1.69426,0.638745,0.095453,2.1775,0.374231,0,1.64113
16586,3.52681,1.69477,0.030762,0.097542,0.361376,0.41377,0,3.35888
16586,3.52774,1.6944,0.03167,0.077637,0.397088,0.331531,0,0.954136
16586,3.52898,1.69418,0.37047,0.077936,0.314183,0.357856,0,0.901739
16586,3.53066,1.69418,0.869204,0.093537,0.31025,0.342553,0,1.16543
16586,3.53232,1.69416,0.862861,0.093216,0.350198,0.338789,0,1.665
16586,3.53399,1.69415,0.827346,0.093154,0.456252,0.446253,0,1.70289
16586,3.53567,1.69414,0.623522,0.076082,0.455985,0.449595,0,1.90329
16586,3.53734,1.69413,0.597162,0.091385,0.443874,0.424691,0,1.68136
16586,3.53903,1.69413,0.659519,0.089375,0.446448,0.427445,0,1.62615
16586,3.54064,1.69409,0.575099,0.089391,0.453382,0.428793,0,1.69359
16586,3.5423,1.69407,0.63253,0.079623,0.468871,0.450939,0,1.61693
16586,3.544,1.69407,0.615032,0.090708,0.46265,0.431162,0,1.70219
16586,3.54567,1.69406,0.608905,0.093007,0.468332,0.445521,0,1.67222
16586,3.54733,1.69404,0.576543,0.095022,0.46718,0.437099,0,1.68969
16586,3.54899,1.69403,0.58724,0.092482,0.45787,0.428933,0,1.65056
16586,3.55065,1.69401,0.610238,0.091693,0.445918,0.437427,0,1.64002
16586,3.55229,1.69399,0.588621,0.095813,0.465573,0.440815,0,1.65785
16586,3.55394,1.69397,0.581043,0.090908,0.46274,0.454182,0,1.66536
16586,3.55564,1.69397,0.619642,0.092289,0.442422,0.430437,0,1.65823
16586,3.55733,1.69397,0.651479,0.092233,0.449269,0.432652,0,1.65853
16586,3.55897,1.69394,0.597714,0.090685,0.437802,0.423447,0,1.69714
16586,3.56059,1.69391,0.604743,0.079326,0.451566,0.4242,0,1.62098
16586,3.56226,1.6939,0.658677,0.070239,0.465988,0.433155,0,1.62799
16586,3.56396,1.6939,0.626353,0.103523,0.46195,0.436909,0,1.70028
16586,3.56556,1.69385,0.550557,0.074433,0.463304,0.43919,0,1.7044
16586,3.56725,1.69385,0.618621,0.090133,0.45067,0.436148,0,1.59914
16586,3.56891,1.69384,0.620836,0.091056,0.452352,0.444767,0,1.66418
16586,3.57061,1.69384,0.639731,0.094301,0.462847,0.435862,0,1.67665
16586,3.57224,1.69381,0.554073,0.095691,0.454698,0.426593,0,1.70969
16586,3.57392,1.6938,0.63567,0.091913,0.454892,0.431898,0,1.60541
16586,3.57557,1.69378,0.597206,0.092549,0.457347,0.431435,0,1.68099
16586,3.57722,1.69376,0.604113,0.094609,0.575971,2.18361,0,1.65037
16586,3.58017,1.69436,0.031061,0.08677,0.441131,0.422234,0,3.5291
16586,3.58123,1.69405,0.035584,0.078483,0.427296,0.429489,0,1.05741
16586,3.58226,1.69374,0.033032,0.07584,0.42517,0.421491,0,1.03418
16586,3.5839,1.69372,0.645484,0.090461,0.428516,0.413436,0,1.01852
16586,3.58553,1.69369,0.638726,0.088869,0.458421,0.418444,0,1.64042
16586,3.58726,1.6937,0.688823,0.092289,0.460801,0.446121,0,1.67071
16586,3.5889,1.69367,0.563107,0.093163,0.442536,0.428052,0,1.76212
16586,3.59053,1.69364,0.590111,0.094093,0.459909,0.435699,0,1.60351
16586,3.59219,1.69363,0.601331,0.093307,0.466049,0.429944,0,1.65102
16586,3.59385,1.69361,0.600419,0.091157,0.440058,0.454011,0,1.6653
16586,3.59554,1.69362,0.640588,0.091069,0.479535,0.439372,0,1.65434
16586,3.59721,1.6936,0.570538,0.09848,0.451049,0.435725,0,1.72772
16586,3.59887,1.69359,0.607322,0.093772,0.466167,0.432463,0,1.63051
16586,3.6005,1.69356,0.55617,0.091022,0.457557,0.429021,0,1.68188
16586,3.60217,1.69355,0.619186,0.093525,0.454049,0.442942,0,1.60517
16586,3.60382,1.69352,0.600876,0.085579,0.47382,0.443673,0,1.67542
16586,3.60549,1.69351,0.585309,0.086913,0.453764,0.449504,0,1.67828
16586,3.60716,1.6935,0.607179,0.090007,0.454731,0.43362,0,1.64504
16586,3.60886,1.6935,0.657885,0.091873,0.446161,0.443887,0,1.64954
16586,3.61051,1.69349,0.599951,0.088174,0.440536,0.418717,0,1.71569
16586,3.61217,1.69347,0.64013,0.088636,0.439579,0.424491,0,1.61715
16586,3.61401,1.69354,0.647369,0.263116,0.385279,0.419634,0,1.65937
16586,3.61549,1.69344,0.501976,0.085665,0.385922,0.418848,0,1.80307
16586,3.61717,1.69343,0.712925,0.091693,0.448633,0.444419,0,1.46243
16586,3.61883,1.69342,0.607774,0.091013,0.445666,0.434817,0,1.76789
16586,3.6205,1.6934,0.615522,0.090625,0.444818,0.434068,0,1.65542
16586,3.62213,1.69337,0.589859,0.089042,0.453069,0.441364,0,1.65657
16586,3.62382,1.69337,0.63572,0.093348,0.44899,0.432786,0,1.64475
16586,3.62548,1.69336,0.605455,0.093071,0.444254,0.43163,0,1.68697
16586,3.62714,1.69334,0.626175,0.091414,0.442169,0.429301,0,1.64614
16586,3.6288,1.69333,0.634477,0.087953,0.453655,0.432769,0,1.65763
16586,3.63043,1.6933,0.579697,0.088639,0.426908,0.435195,0,1.68165
16586,3.63209,1.69328,0.657999,0.077687,0.433766,0.415741,0,1.59314
16586,3.63383,1.6933,0.723616,0.09392,0.455697,0.433217,0,1.65176
16586,3.63549,1.69329,0.59448,0.095998,0.458762,0.434035,0,1.79317
16586,3.63715,1.69327,0.590166,0.09406,0.454842,0.442112,0,1.65954
16586,3.63875,1.69323,0.540322,0.093786,0.449658,0.481795,0,1.65161
16586,3.64042,1.69322,0.587364,0.088986,0.467371,0.431847,0,1.63325
16586,3.64209,1.69321,0.598568,0.100082,0.447308,0.430164,0,1.64534
16586,3.64375,1.69319,0.620719,0.094324,0.44565,0.428744,0,1.63897
16586,3.64541,1.69318,0.631283,0.095489,0.445276,0.430663,0,1.65141
16586,3.64706,1.69316,0.62119,0.089816,0.43354,0.42032,0,1.66627
16586,3.64875,1.69316,0.686089,0.0928,0.433582,0.439082,0,1.62549
16586,3.65038,1.69313,0.613975,0.080039,0.438201,0.420841,0,1.71181
16586,3.6521,1.69314,0.691241,0.095003,0.456053,0.437541,0,1.62016
16586,3.65375,1.69312,0.598019,0.092117,0.454662,0.442258,0,1.75474
16586,3.65544,1.69312,0.624628,0.094133,0.507871,0.43316,0,1.66145
16586,3.65705,1.69308,0.501876,0.09175,0.466773,0.455213,0,1.73267
16586,3.65875,1.69308,0.606261,0.086675,0.456383,0.441881,0,1.59502
16586,3.66037,1.69305,0.568177,0.086528,0.452745,0.442971,0,1.66125
16586,3.66201,1.69302,0.604332,0.07153,0.445439,0.446518,0,1.61836
16586,3.66374,1.69304,0.67387,0.090723,0.447832,0.442444,0,1.64053
16586,3.6654,1.69302,0.617691,0.08833,0.448578,0.447649,0,1.71658
16586,3.66702,1.69299,0.567722,0.089973,0.455216,0.484521,0,1.66861
16586,3.66868,1.69298,0.583067,0.078804,0.457,0.477282,0,1.66008
16586,3.67039,1.69298,0.612011,0.093647,0.45838,0.433978,0,1.66639
16586,3.67204,1.69296,0.586637,0.090544,0.44877,0.429248,0,1.67679
16586,3.6737,1.69295,0.623128,0.091847,0.458294,0.437021,0,1.62602
16586,3.67534,1.69292,0.587458,0.072882,0.479543,0.429445,0,1.68938
16586,3.677,1.69291,0.590571,0.096395,0.454869,0.426205,0,1.63872
16586,3.67872,1.69292,0.662332,0.09805,0.456584,0.436903,0,1.63888
16586,3.6804,1.69292,0.625877,0.089897,0.461513,0.428488,0,1.72853
16586,3.68199,1.69287,0.553119,0.071911,0.466201,0.449172,0,1.68327
16586,3.68367,1.69286,0.597607,0.075462,0.472021,0.436525,0,1.62606
16586,3.68533,1.69285,0.594926,0.075318,0.521177,0.45665,0,1.65991
16586,3.68697,1.69283,0.510203,0.087294,0.434053,0.436417,0,1.72341
16586,3.68867,1.69283,0.645494,0.094227,0.466137,0.446802,0,1.54958
16586,3.69035,1.69282,0.598331,0.093601,0.461098,0.441512,0,1.73391
16586,3.69222,1.6929,0.786179,0.10035,0.462394,0.441783,0,1.67195
16586,3.69363,1.69277,0.34921,0.082406,0.455151,0.425073,0,1.86234
16586,3.69534,1.69278,0.656224,0.092824,0.443506,0.429469,0,1.39427
16586,3.69695,1.69274,0.576603,0.089652,0.437384,0.423294,0,1.69821
16586,3.69861,1.69273,0.635013,0.08931,0.389129,0.425364,0,1.60029
16586,3.70027,1.69271,0.682366,0.08843,0.38467,0.433883,0,1.61363
16586,3.70196,1.69271,0.710852,0.089969,0.43309,0.432665,0,1.65861
16586,3.70361,1.69269,0.611573,0.088838,0.451572,0.432661,0,1.74273
16586,3.70531,1.69269,0.643548,0.098068,0.455354,0.44091,0,1.66004
16586,3.70693,1.69266,0.561761,0.08999,0.451532,0.436329,0,1.71378
16586,3.70859,1.69265,0.610372,0.089392,0.444037,0.433434,0,1.61614
16586,3.71027,1.69264,0.625982,0.100573,0.436393,0.427104,0,1.65269
16586,3.71193,1.69262,0.618746,0.094814,0.435018,0.418982,0,1.66486
16586,3.71359,1.69261,0.641628,0.094688,0.45123,0.432467,0,1.63907
16586,3.71526,1.6926,0.612457,0.102803,0.432834,0.426114,0,1.69071
16586,3.71691,1.69258,0.625942,0.091206,0.458633,0.439568,0,1.64719
16586,3.71858,1.69257,0.607231,0.095253,0.482814,0.437518,0,1.68808
16586,3.72024,1.69256,0.568415,0.09218,0.464789,0.430562,0,1.69799
16586,3.72189,1.69254,0.614882,0.079591,0.473746,0.450426,0,1.62461
16586,3.72363,1.69256,0.638282,0.100062,0.451816,0.430173,0,1.69127
16586,3.72525,1.69253,0.578912,0.08626,0.469268,0.448109,0,1.69395
16586,3.72689,1.6925,0.553167,0.091489,1.13635,0.377724,0,1.65658
16586,3.7286,1.69251,0.02926,0.092402,0.448138,0.435235,0,2.23519
16586,3.73026,1.6925,0.57568,0.125805,0.44317,0.447895,0,1.07859
16586,3.73192,1.69248,0.595179,0.099405,0.451256,0.434713,0,1.67009
16586,3.73356,1.69246,0.570825,0.108452,0.467415,0.418767,0,1.65129
16586,3.73528,1.69247,0.665727,0.098833,0.445682,0.43184,0,1.63941
16586,3.73688,1.69243,0.542032,0.109467,0.437231,0.424718,0,1.71421
16586,3.73857,1.69243,0.647864,0.10059,0.44216,0.427721,0,1.58882
16586,3.74018,1.69239,0.585267,0.076441,0.434176,0.419883,0,1.70213
16586,3.74186,1.69238,0.664827,0.088477,0.468629,0.472628,0,1.57897
16586,3.74355,1.69238,0.569684,0.09008,0.461039,0.441476,0,1.78731
16586,3.74541,1.69246,0.564645,0.32206,0.447831,0.432432,0,1.63532
16586,3.74687,1.69235,0.410918,0.091795,0.454345,0.428802,0,1.84444
16586,3.74853,1.69234,0.610472,0.095617,0.43794,0.424364,0,1.45912
16586,3.75023,1.69234,0.662468,0.099641,0.439384,0.418993,0,1.64112
16586,3.75183,1.6923,0.575664,0.090553,0.430317,0.423219,0,1.69228
16586,3.7535,1.69229,0.651548,0.091996,0.433136,0.42947,0,1.59048
16586,3.75516,1.69228,0.637962,0.091313,0.443431,0.416562,0,1.67621
16586,3.75684,1.69227,0.65754,0.089925,0.437076,0.955449,0,1.66201
16586,3.75846,1.69224,0.094856,0.055942,0.454322,1.07121,0,2.2123
16586,3.76017,1.69225,0.027986,0.091436,0.444261,0.477288,0,1.74801
16586,3.76181,1.69222,0.55329,0.092271,0.497829,0.443966,0,1.11126
16586,3.76351,1.69222,0.587446,0.095111,0.461735,0.436156,0,1.66166
16586,3.76513,1.6922,0.559282,0.09358,0.460982,0.441241,0,1.65522
16586,3.7668,1.69219,0.598021,0.097228,0.450065,0.42824,0,1.62827
16586,3.76849,1.69218,0.64149,0.094354,0.468624,0.438151,0,1.6486
16586,3.77016,1.69217,0.587232,0.092789,0.464276,0.433627,0,1.7191
16586,3.77183,1.69216,0.611453,0.093788,0.458037,0.424669,0,1.64507
16586,3.77344,1.69213,0.571066,0.090913,0.463748,0.45649,0,1.66003
16586,3.77515,1.69213,0.636327,0.083183,0.521222,0.452842,0,1.64796
16586,3.77679,1.69211,0.513523,0.075693,0.463663,0.433984,0,1.77486
16586,3.77845,1.6921,0.58884,0.095113,0.462269,0.444448,0,1.55975
16586,3.78038,1.6922,0.851224,0.098159,0.467992,0.43983,0,1.66321
16586,3.78175,1.69206,0.318266,0.066223,0.459379,0.430005,0,1.93636
16586,3.78343,1.69205,0.618699,0.09008,0.391655,0.421901,0,1.35421
16586,3.78509,1.69204,0.681729,0.091822,0.387655,0.428854,0,1.59756
16586,3.78678,1.69204,0.711506,0.089981,0.403996,0.430555,0,1.66201
16586,3.78846,1.69203,0.672066,0.096102,0.463019,0.431721,0,1.71091
16586,3.79011,1.69201,0.585413,0.095157,0.455706,0.427973,0,1.73965
16586,3.79177,1.692,0.615295,0.089542,0.454303,0.433865,0,1.63132
